"","q2","q3","q4","q11","q61","q62","q63","q64","q68","q69"
"1594",1943,1,1,1,8,18,1,2,4,-9
"1595",1960,1,1,1,4,12,1,2,1,-9
"1596",1966,2,3,5,9,6,2,2,1,120000
"1597",1941,1,3,-8,8,1,1,2,4,22000
"1598",1958,1,3,NA,11,6,4,3,4,65000
"1599",1958,2,3,2,8,6,2,2,1,-8
"1600",1960,2,3,1,11,21,NA,2,1,250000
"1601",1934,2,3,1,8,3,1,2,4,-9
"1602",1944,2,3,2,7,1,2,2,4,-9
"1603",1998,2,3,5,6,7,2,2,1,-9
"1604",1942,1,3,-9,5,6,1,2,4,0
"1605",1951,2,3,1,9,1,1,2,1,1e+05
"1606",1954,1,3,-9,8,12,2,2,4,128000
"1607",1945,1,4,1,5,1,2,2,4,26000
"1608",1957,2,3,-9,9,6,2,2,4,45000
"1609",1985,2,3,1,7,14,4,2,12,120000
"1610",1981,2,3,-9,5,-8,2,2,2,-8
"1611",1962,2,3,1,8,21,NA,2,1,120000
"1612",1962,1,3,NA,5,21,NA,2,11,110000
"1613",1943,1,2,2,9,1,1,2,4,50000
"1614",1978,1,2,-8,9,6,3,2,1,130000
"1615",1947,1,2,2,11,1,2,2,3,250000
"1616",1946,1,2,2,9,6,2,2,4,50000
"1617",1951,1,2,-8,9,21,NA,2,4,18000
"1618",1965,2,2,1,10,21,NA,2,3,90000
"1619",1958,1,2,1,8,7,1,2,1,120000
"1620",1933,2,2,2,5,7,1,2,4,-8
"1621",1951,1,2,2,7,6,1,2,4,40000
"1622",1955,2,2,-9,9,9,2,2,4,40000
"1623",1928,2,2,-9,10,6,1,2,4,-8
"1624",1960,2,2,-9,4,6,1,2,1,40000
"1625",1943,2,2,1,10,9,4,2,4,1e+05
"1626",1937,2,2,1,9,6,1,2,4,30000
"1627",1952,1,2,-9,6,4,2,2,11,88000
"1628",1956,2,2,-8,4,6,1,2,2,-8
"1629",1951,2,2,1,10,12,1,2,4,24000
"1630",1939,2,2,1,8,12,2,2,4,19000
"1631",1973,1,2,2,6,3,1,2,1,40000
"1632",1977,2,5,2,9,6,1,2,2,20000
"1633",1989,2,5,-9,5,6,2,1,1,-9
"1634",1946,2,5,2,2,6,2,2,4,22000
"1635",1987,1,5,-9,9,21,NA,2,1,130000
"1636",1956,2,5,7,7,6,2,2,4,15000
"1637",1983,2,5,-9,5,6,3,2,3,80000
"1638",1980,1,5,-9,5,6,3,2,1,140000
"1639",1940,2,5,-9,3,6,2,1,4,-8
"1640",1958,1,5,1,3,6,4,2,1,140000
"1641",1957,2,5,1,7,6,3,1,2,60000
"1642",1979,1,5,4,5,6,4,2,1,-9
"1643",1950,1,5,1,7,6,3,2,4,90000
"1644",1976,2,5,1,7,6,2,2,1,135000
"1645",1952,2,5,-9,7,6,2,2,4,-8
"1646",1956,2,5,-9,5,6,2,2,1,-8
"1647",1959,2,5,NA,11,21,NA,2,1,760000
"1648",1967,1,5,-9,9,21,NA,2,1,-8
"1649",1949,1,5,-9,-9,-8,-9,-9,-8,-9
"1650",1984,2,5,-9,7,6,3,2,9,98000
"1651",1976,2,5,1,6,6,4,2,1,35000
"1652",1989,2,5,-9,3,21,NA,2,6,80000
"1653",1954,2,5,2,4,6,1,2,4,14000
"1654",1984,1,5,-9,6,2,2,2,1,-8
"1655",1941,1,5,2,11,14,4,2,4,-8
"1656",1959,2,5,-9,10,21,NA,2,3,-8
"1657",1944,1,5,NA,10,9,4,5,2,1e+05
"1658",1977,2,5,-9,10,21,NA,2,1,180000
"1659",1957,2,5,-8,2,6,1,2,2,-8
"1660",1959,1,5,5,5,21,NA,2,4,0
"1661",1976,1,5,1,10,22,1,13,1,0
"1662",1962,2,5,1,4,12,1,2,1,35000
"1663",1963,2,5,NA,3,6,1,2,-8,-9
"1664",1965,2,5,3,9,6,3,2,1,80000
"1665",1953,1,5,-9,9,6,3,2,4,75000
"1666",1961,1,5,6,7,21,NA,2,1,0
"1667",1991,1,5,2,5,6,3,2,1,80000
"1668",1962,1,9,-8,9,10,2,7,3,60000
"1669",1944,2,9,2,9,9,2,2,4,-8
"1670",1941,1,9,2,7,6,1,2,4,-8
"1671",1973,1,9,2,8,6,3,2,1,198000
"1672",1972,1,9,2,9,14,2,2,3,150000
"1673",1964,1,9,5,5,21,NA,2,8,18000
"1674",1941,2,9,2,8,4,1,2,4,-8
"1675",1959,2,9,2,5,1,1,2,8,-8
"1676",1972,1,9,2,9,6,1,2,3,-9
"1677",1961,1,9,2,10,17,2,2,5,375000
"1678",1962,1,9,2,8,6,1,2,3,1e+05
"1679",1938,1,9,2,7,14,1,2,4,30000
"1680",1948,2,9,6,7,12,2,2,4,-8
"1681",1958,1,9,2,7,21,NA,2,1,-8
"1682",1960,1,9,2,4,21,NA,2,4,1e+05
"1683",1965,1,9,-9,9,6,2,2,1,150000
"1684",1958,2,9,1,5,21,NA,2,7,50000
"1685",1962,2,9,6,10,11,2,13,3,-8
"1686",1943,2,9,2,7,1,3,13,4,45000
"1687",1953,2,9,-8,6,9,2,2,4,48000
"1688",1949,1,9,2,9,21,NA,2,4,50000
"1689",1941,2,9,1,8,22,3,2,4,66000
"1690",1984,2,9,2,9,21,NA,2,1,3e+05
"1691",1954,1,9,2,10,6,2,2,1,-8
"1692",1977,2,9,2,9,6,1,2,7,140000
"1693",1969,1,9,2,5,17,1,2,1,-9
"1694",1981,2,9,-8,9,22,1,2,7,35000
"1695",1956,2,9,-9,5,21,NA,2,1,49000
"1696",1960,1,9,2,4,6,2,2,5,40000
"1697",1947,1,9,2,9,6,1,2,4,24000
"1698",1959,1,9,2,11,22,1,2,11,3e+05
"1699",1966,1,10,2,6,21,NA,2,4,24000
"1700",1957,2,10,-9,9,21,NA,2,3,-8
"1701",1952,1,10,-9,5,21,NA,2,4,75000
"1702",1946,1,10,2,9,21,NA,13,4,-8
"1703",1951,2,10,-9,9,14,1,2,4,45000
"1704",1942,2,10,2,8,6,2,2,4,24000
"1705",1950,1,10,5,8,21,NA,2,11,-9
"1706",1935,2,10,3,9,21,NA,13,3,26000
"1707",1991,1,10,NA,6,21,NA,2,1,-9
"1708",1952,1,9,2,9,6,4,6,4,-8
"1709",1953,1,10,3,7,22,2,2,4,41000
"1710",1970,1,10,2,6,1,3,2,2,20000
"1711",1965,2,10,5,5,21,NA,2,1,48000
"1712",1976,1,10,2,9,21,NA,2,1,150000
"1713",1949,2,10,-9,7,6,4,2,4,20000
"1714",1988,2,1,3,9,9,1,2,2,70000
"1715",1947,2,10,2,10,21,NA,2,4,170000
"1716",1949,2,10,2,8,6,2,2,4,45000
"1717",1939,1,10,1,11,21,NA,2,4,78000
"1718",1943,1,10,5,6,4,1,2,4,30000
"1719",1959,2,10,-9,9,16,-9,3,4,-8
"1720",1952,2,10,5,5,21,NA,2,4,35000
"1721",1962,2,10,5,7,21,NA,2,1,118000
"1722",1928,1,10,1,4,8,2,13,4,20000
"1723",1955,2,10,5,5,21,NA,2,4,170000
"1724",1941,1,10,1,9,12,3,2,12,2e+05
"1725",1939,2,10,-9,9,7,2,2,4,-9
"1726",1981,2,10,1,8,21,NA,2,1,90000
"1727",1947,1,10,6,10,21,NA,2,4,-9
"1728",1963,1,10,-9,6,21,NA,2,4,90000
"1729",1924,2,10,-8,7,6,1,13,4,40000
"1730",1969,2,10,2,7,21,NA,2,1,120000
"1731",1986,1,10,NA,5,14,2,2,10,-8
"1732",1945,1,10,-8,3,14,2,2,4,-9
"1733",1988,2,10,3,7,21,NA,2,10,45000
"1734",1948,1,10,1,7,6,3,13,4,125000
"1735",1947,2,10,1,10,15,2,3,4,2e+05
"1736",1943,1,10,1,4,21,NA,2,4,-9
"1737",1951,1,10,2,5,12,3,2,1,-8
"1738",1946,1,10,2,9,21,NA,2,4,2e+05
"1739",1934,1,10,2,5,14,1,2,4,-8
"1740",1971,2,10,1,11,21,NA,2,1,155000
"1741",1965,2,6,5,7,14,2,2,2,5e+05
"1742",1966,1,10,-9,4,6,2,2,8,2000
"1743",1970,2,10,-9,7,1,2,2,1,-8
"1744",1958,2,10,5,9,5,1,6,4,30000
"1745",1937,1,10,2,9,-8,3,2,4,-8
"1746",1952,2,10,1,7,14,1,2,1,45000
"1747",1976,2,10,3,7,21,NA,3,2,50000
"1748",1954,1,10,3,5,21,NA,2,4,120000
"1749",1949,1,10,3,10,15,2,13,2,-8
"1750",1963,2,10,1,11,21,NA,2,3,-8
"1751",1962,1,10,-8,6,21,NA,2,1,96000
"1752",1973,2,10,-9,10,14,4,2,1,250000
"1753",1961,1,10,-9,7,21,NA,2,1,150000
"1754",1952,1,10,1,9,6,2,13,4,11000
"1755",1960,2,10,1,9,14,2,2,8,0
"1756",1953,2,10,-9,7,1,2,2,4,105000
"1757",1943,1,10,-8,11,14,-8,2,11,-8
"1758",1978,1,10,2,10,4,1,2,1,250000
"1759",1971,2,10,2,7,14,1,2,2,122000
"1760",1977,2,10,5,7,21,NA,2,7,150000
"1761",1960,1,10,3,5,21,NA,2,5,70000
"1762",1980,2,10,2,6,14,1,2,10,-9
"1763",1964,2,10,1,7,12,3,2,1,-8
"1764",1982,1,10,-9,9,21,NA,2,1,130000
"1765",1944,2,10,2,5,1,2,13,4,40000
"1766",1959,2,10,3,6,21,NA,13,1,65000
"1767",1971,1,10,-9,7,7,3,2,1,185000
"1768",1964,1,10,1,9,9,1,2,1,150000
"1769",1943,1,10,2,7,1,2,2,4,58000
"1770",1964,1,10,1,7,21,NA,2,4,1e+05
"1771",1987,1,10,5,5,21,NA,2,1,51000
"1772",1967,2,10,1,10,17,1,2,1,90000
"1773",1938,1,10,1,9,2,2,4,4,250000
"1774",1946,2,10,NA,10,21,NA,2,4,-9
"1775",1945,2,10,5,9,6,3,13,4,40000
"1776",1952,1,10,5,10,12,2,2,3,1e+05
"1777",1961,2,10,5,8,1,2,2,3,80000
"1778",1961,1,10,5,9,6,2,13,1,105000
"1779",1956,2,10,-9,9,1,2,13,1,-9
"1780",1978,1,10,1,6,21,NA,2,1,80000
"1781",1968,2,10,2,9,4,1,2,1,-9
"1782",1969,1,10,5,9,21,NA,2,1,-8
"1783",1999,1,10,1,5,21,NA,2,12,-9
"1784",1947,2,10,-9,8,1,2,2,3,-9
"1785",1973,2,10,5,4,21,NA,2,3,80000
"1786",1933,2,10,1,8,6,2,2,4,-8
"1787",1969,1,10,5,5,21,NA,2,3,150000
"1788",1951,1,10,-9,10,21,NA,2,4,220000
"1789",1945,1,10,1,10,21,NA,4,11,80000
"1790",1943,2,10,1,9,21,NA,2,7,80000
"1791",1952,2,10,2,10,21,NA,2,4,4e+05
"1792",1949,1,10,2,11,14,1,2,4,0
"1793",1976,2,10,2,9,21,NA,2,3,150000
"1794",1969,1,10,-9,5,21,NA,2,4,-8
"1795",1949,1,10,2,10,17,1,2,4,-8
"1796",1976,2,10,5,9,14,1,13,10,80000
"1797",1944,2,10,5,9,1,2,13,4,50000
"1798",1999,1,10,2,7,4,1,2,6,-9
"1799",1976,1,10,2,9,14,1,2,1,-8
"1800",1954,2,10,-9,7,1,3,2,11,50000
"1801",1955,2,10,3,5,1,2,2,8,30000
"1802",1970,2,7,-9,9,6,3,2,1,-8
"1803",1969,2,7,2,7,6,1,2,1,80000
"1804",1961,1,7,5,4,-9,4,2,3,150000
"1805",1953,2,7,2,9,21,NA,2,2,93000
"1806",1946,1,7,2,7,9,2,13,4,-9
"1807",1966,1,7,2,7,21,NA,2,1,160000
"1808",1946,1,7,1,11,21,NA,2,4,1e+05
"1809",1957,1,7,2,4,21,NA,2,11,0
"1810",1971,1,7,2,6,14,1,13,1,60000
"1811",1948,2,7,3,6,12,3,2,1,-8
"1812",1983,1,7,2,8,4,1,13,1,30000
"1813",1963,2,7,2,5,6,2,2,1,-8
"1814",1957,1,7,2,9,3,1,2,8,50000
"1815",1950,2,7,-8,9,-9,NA,2,4,120000
"1816",1948,1,7,-9,7,12,2,2,4,-8
"1817",1947,1,7,1,11,-9,4,2,4,1e+05
"1818",1954,2,7,3,8,7,2,2,4,40000
"1819",1954,1,7,2,7,6,4,2,1,40000
"1820",1942,1,7,-9,8,3,1,2,4,52000
"1821",1960,2,7,5,10,12,1,2,1,59000
"1822",1942,1,7,1,6,21,NA,13,4,45000
"1823",1980,1,7,2,7,3,1,2,1,95000
"1824",1946,1,7,NA,9,14,1,3,4,0
"1825",1948,2,7,1,4,21,NA,2,4,75000
"1826",1955,1,7,-8,4,12,2,2,3,-9
"1827",1985,2,7,2,5,7,2,2,10,142000
"1828",1953,1,7,2,5,21,NA,2,4,-8
"1829",1953,2,7,2,6,6,1,2,4,30000
"1830",1952,1,7,1,7,6,2,2,4,91000
"1831",1959,1,7,2,7,21,NA,2,11,65000
"1832",1963,1,7,1,5,1,2,2,1,250000
"1833",1943,1,7,2,5,1,2,2,4,60000
"1834",1971,1,7,-9,7,21,NA,2,1,150000
"1835",1953,2,7,1,9,6,2,2,12,50000
"1836",1958,1,8,2,5,6,2,2,1,3e+05
"1837",1955,1,4,2,9,21,NA,2,4,75000
"1838",1950,2,4,2,7,2,1,13,4,40000
"1839",1929,2,4,2,7,14,4,7,4,-8
"1840",1962,2,4,-9,7,3,1,2,1,41000
"1841",1950,2,4,5,10,21,NA,13,4,87000
"1842",1937,1,4,-8,5,3,1,2,4,55000
"1843",1954,2,4,2,8,3,1,2,11,-9
"1844",1950,2,4,-9,7,6,2,2,4,23000
"1845",1945,1,4,-8,10,6,1,2,4,50000
"1846",1982,1,4,-8,7,21,NA,2,1,-9
"1847",1954,1,4,2,5,9,2,2,1,-8
"1848",1962,2,4,2,6,14,1,2,1,24000
"1849",1944,1,4,5,8,-9,NA,2,4,0
"1850",1959,1,4,1,9,1,2,2,4,160000
"1851",1969,1,4,2,11,6,2,2,1,-8
"1852",1944,1,4,2,5,7,1,2,4,36000
"1853",1984,2,4,2,5,6,2,2,7,40000
"1854",1978,2,4,-9,7,6,2,2,1,-8
"1855",1972,1,4,1,7,6,1,2,8,8000
"1856",1970,2,4,2,7,6,2,2,4,85000
"1857",1951,1,4,2,5,1,2,2,11,60000
"1858",1953,2,4,-8,9,6,1,2,4,-8
"1859",1952,2,4,1,7,6,1,2,4,35000
"1860",1943,1,4,-9,10,12,1,2,3,43000
"1861",1946,2,4,1,9,6,3,2,4,-8
"1862",1953,1,4,-9,7,6,2,2,1,40000
"1863",1957,1,4,-9,9,12,2,2,10,80000
"1864",1943,1,4,2,5,12,1,2,1,50000
"1865",1963,1,4,2,5,6,2,3,3,42000
"1866",1962,1,4,-9,11,6,2,2,1,110000
"1867",1951,2,4,-9,5,6,2,2,2,19000
"1868",1954,1,1,1,11,6,1,13,4,150000
"1869",1945,1,1,1,7,12,2,13,4,-9
"1870",1956,2,1,-9,9,4,1,2,4,-8
"1871",1952,2,1,-9,9,6,3,2,11,52000
"1872",1955,2,1,1,11,12,4,2,1,40000
"1873",1952,1,1,2,7,18,1,2,4,-9
"1874",1963,2,1,1,4,12,1,2,2,20000
"1875",1956,2,1,-9,10,6,2,2,11,150000
"1876",1988,1,1,1,-8,18,2,2,-8,-8
"1877",1985,2,1,1,10,1,2,2,1,2e+05
"1878",1925,2,1,-9,6,6,1,2,4,20000
"1879",1994,2,1,-9,9,21,NA,2,1,-9
"1880",1955,2,1,1,7,9,1,2,8,30000
"1881",1952,2,1,-9,8,14,1,2,4,16000
"1882",1942,2,1,-8,5,6,1,2,4,50000
"1883",1955,2,1,3,5,4,1,2,5,-8
"1884",1972,2,1,3,10,12,3,2,2,80000
"1885",1947,2,1,1,7,12,1,2,4,-9
"1886",1949,1,1,-9,4,9,1,2,4,20000
"1887",1965,1,1,1,7,1,2,2,1,130000
"1888",1948,1,1,2,7,6,3,13,4,42000
"1889",1956,2,1,3,10,4,1,2,1,50000
"1890",1966,2,1,1,10,6,2,2,1,5e+05
"1891",1975,2,1,3,9,6,4,2,2,70000
"1892",1963,1,1,-9,7,6,3,2,3,3e+05
"1893",1966,2,1,1,7,6,1,2,1,-8
"1894",1938,2,1,-9,5,1,1,2,4,-8
"1895",1954,1,1,-9,9,7,1,2,4,20000
"1896",1977,2,1,3,7,6,2,2,1,90000
"1897",1963,1,1,2,8,21,NA,2,1,2e+05
"1898",1973,2,1,1,7,1,1,2,1,110000
"1899",1960,2,1,1,8,18,1,2,4,-8
"1900",1959,2,1,-9,6,1,2,2,1,50000
"1901",1967,1,1,-9,7,1,1,2,1,75000
"1902",1973,1,1,2,6,6,4,2,8,190000
"1903",1963,2,3,-9,9,22,1,2,1,120000
"1904",1968,1,3,-9,11,6,2,2,11,110000
"1905",1965,2,3,2,6,12,3,2,4,1e+05
"1906",1949,2,3,NA,3,1,1,13,4,18000
"1907",1953,2,3,1,8,12,2,2,11,65000
"1908",1959,1,3,-9,7,6,3,2,3,1e+05
"1909",1957,2,3,1,7,12,1,2,1,-8
"1910",1973,2,3,1,10,6,2,2,1,-8
"1911",1967,2,3,3,11,21,NA,2,1,235000
"1912",1975,2,3,1,10,21,NA,2,1,2e+05
"1913",1963,2,3,-9,7,12,1,2,2,55000
"1914",1996,1,3,3,7,3,2,2,1,35000
"1915",1944,1,3,1,7,21,NA,2,4,65000
"1916",1962,2,3,1,9,6,1,2,4,120000
"1917",1960,1,3,2,11,1,1,2,1,150000
"1918",1952,1,3,-9,9,12,1,2,3,110000
"1919",1943,1,3,5,8,3,1,2,4,-8
"1920",1963,2,3,2,7,6,3,2,1,52000
"1921",1970,1,3,1,9,6,2,2,1,35000
"1922",1949,2,3,5,9,1,1,2,4,-8
"1923",1949,2,3,-9,10,1,3,2,3,92000
"1924",1967,1,3,-9,5,21,NA,2,1,120000
"1925",1940,2,3,2,4,22,2,2,4,50000
"1926",1954,2,3,2,5,14,1,2,4,130000
"1927",1969,1,3,3,4,6,3,2,10,60000
"1928",1994,1,3,-9,9,9,3,2,1,56000
"1929",1991,2,3,3,9,21,NA,2,1,130000
"1930",1955,1,3,1,9,12,2,2,4,-9
"1931",1968,2,3,-8,7,6,3,2,1,110000
"1932",1957,2,3,-9,7,1,1,2,4,-8
"1933",1954,2,3,-9,6,3,2,2,4,24000
"1934",1983,1,6,-9,5,21,NA,2,1,80000
"1935",1941,2,6,2,9,14,1,2,4,60000
"1936",1944,1,6,1,11,6,1,3,4,90000
"1937",1944,1,6,2,6,1,1,2,4,-8
"1938",1946,2,6,1,5,6,2,2,4,30000
"1939",1958,2,6,-9,6,12,3,2,4,-8
"1940",1927,2,6,2,9,21,NA,2,4,1e+05
"1941",1958,2,6,1,5,21,NA,2,4,-8
"1942",1958,1,6,2,5,21,NA,13,1,-8
"1943",1973,1,6,5,9,17,1,2,1,85000
"1944",1946,2,6,1,8,14,1,13,4,-9
"1945",1941,2,6,-9,9,22,2,2,4,20000
"1946",1963,2,6,3,7,17,3,2,7,-8
"1947",1956,2,6,-9,7,21,NA,2,4,1e+05
"1948",1937,2,6,-9,11,21,NA,2,4,-9
"1949",1947,2,6,1,5,1,1,2,4,80000
"1950",1955,1,6,-9,9,9,3,2,3,-8
"1951",1935,1,6,2,10,1,2,2,11,-8
"1952",1998,2,6,-8,5,21,NA,2,2,-8
"1953",1947,1,6,2,9,21,NA,2,4,70000
"1954",1965,1,6,-8,9,14,3,2,1,140000
"1955",1947,2,6,1,7,1,1,2,4,55000
"1956",1968,2,6,3,11,21,NA,13,3,-9
"1957",1967,2,6,-8,7,1,1,2,1,101000
"1958",1962,1,6,5,10,12,3,2,1,0
"1959",1953,1,6,-9,10,21,NA,2,1,-8
"1960",1959,2,6,-9,8,6,2,11,4,9000
"1961",1986,2,6,-9,5,15,1,13,3,-9
"1962",1967,1,6,1,7,14,3,13,1,30000
"1963",1930,2,6,7,9,1,2,2,4,-9
"1964",1948,2,6,-9,7,9,1,2,4,80000
"1965",1956,2,6,2,7,6,2,2,4,120000
"1966",1956,1,6,1,5,1,2,2,12,30000
"1967",1973,2,6,-9,5,14,3,2,1,85000
"1968",1937,2,6,2,5,1,3,4,4,-9
"1969",1952,1,6,2,7,6,4,2,4,72000
"1970",1982,2,6,-9,9,6,2,2,1,120000
"1971",1968,2,6,-8,9,1,4,2,5,-8
"1972",1950,1,6,-8,10,6,1,2,4,-8
"1973",1978,2,6,1,10,21,NA,2,10,90000
"1974",1941,1,6,2,7,12,1,2,4,31000
"1975",1961,2,6,3,7,9,1,13,1,90000
"1976",1970,1,6,2,9,21,NA,2,1,110000
"1977",1945,2,6,1,9,3,3,2,4,80000
"1978",1938,1,6,2,4,9,2,2,4,60000
"1979",1941,2,6,5,6,1,2,2,4,-8
"1980",1937,1,6,1,8,12,1,2,4,1e+05
"1981",1972,1,6,2,9,6,2,2,3,180000
"1982",1947,1,6,1,3,6,1,2,4,50000
"1983",1946,2,6,1,7,9,1,2,4,-8
"1984",1969,2,6,10,7,21,NA,2,1,1e+05
"1985",1957,2,6,1,5,22,1,2,1,40000
"1986",1980,2,6,5,9,14,3,2,1,160000
"1987",1940,1,6,2,11,1,2,13,4,70000
"1988",1945,1,6,2,7,12,2,2,4,60000
"1989",1954,1,6,-9,9,6,1,2,1,180000
"1990",1969,1,6,2,11,6,1,2,2,95000
"1991",1946,1,6,5,7,4,2,13,4,63000
"1992",1950,1,6,1,7,6,2,2,4,-9
"1993",1970,1,6,3,11,2,1,13,1,175000
"1994",1978,2,6,-9,10,21,NA,2,12,-8
"1995",1986,2,6,3,9,2,3,13,6,80000
"1996",1953,2,6,1,9,21,NA,2,4,65000
"1997",1980,2,6,3,7,22,2,2,1,135000
"1998",1968,2,6,1,9,21,NA,2,3,-8
"1999",1950,1,6,2,10,21,NA,8,11,60000
"2000",1961,2,6,2,7,1,2,2,3,72000
"2001",1956,2,6,1,10,21,NA,2,4,80000
"2002",1957,1,6,1,7,12,3,2,4,70000
"2003",1949,2,6,2,11,7,3,2,3,-8
"2004",1967,2,6,-8,6,21,NA,2,2,160000
"2005",1954,1,6,2,8,6,2,2,11,50000
"2006",1976,2,6,2,9,1,2,2,6,13000
"2007",1943,2,6,2,6,6,2,2,4,-9
"2008",1972,1,6,1,8,9,4,1,1,-8
"2009",1954,1,6,1,10,21,NA,2,1,-8
"2010",1966,2,6,5,11,9,2,2,1,150000
"2011",1945,1,6,1,10,21,NA,2,4,-8
"2012",1969,2,6,-9,10,6,2,2,1,-8
"2013",1950,2,6,-9,7,6,2,2,4,52000
"2014",1936,2,6,2,5,9,1,2,4,-8
"2015",1953,2,6,1,9,9,2,2,4,-8
"2016",1950,2,6,-9,5,6,1,2,4,1e+05
"2017",1949,1,6,-9,9,1,2,3,3,150000
"2018",1962,1,6,2,9,21,NA,2,4,4e+05
"2019",1981,1,6,-9,7,21,NA,2,3,45000
"2020",1956,2,6,3,11,1,1,2,3,-8
"2021",1955,2,6,1,9,6,1,2,3,120000
"2022",1926,1,6,2,11,6,1,2,4,12000
"2023",1966,2,6,-8,8,1,1,13,7,40000
"2024",1959,2,6,-9,7,6,2,2,1,-9
"2025",1947,2,6,-8,8,-9,NA,12,4,-8
"2026",1963,1,6,-9,7,7,3,2,1,110000
"2027",1950,1,6,1,10,3,2,2,4,130000
"2028",1959,2,6,1,7,6,3,2,4,-9
"2029",1956,2,6,-9,5,1,1,2,5,22000
"2030",1955,1,6,2,6,21,NA,2,1,145000
"2031",1944,1,6,2,5,21,NA,2,4,42000
"2032",1938,2,6,1,10,6,2,2,4,160000
"2033",1948,2,6,2,9,15,1,2,4,-8
"2034",1952,2,6,5,-9,21,NA,2,4,10000
"2035",1953,1,4,1,9,21,NA,2,4,60000
"2036",1953,1,6,1,6,1,3,2,1,70000
"2037",1955,1,6,5,5,5,1,2,8,12000
"2038",1941,1,6,2,8,9,4,2,4,12000
"2039",1974,2,6,1,7,5,2,2,1,50000
"2040",1944,2,6,2,9,9,1,2,4,2e+05
"2041",1955,2,6,1,8,1,4,2,4,32000
"2042",1959,1,6,1,5,14,2,2,4,90000
"2043",1977,1,6,-9,5,21,NA,2,3,-8
"2044",1974,1,6,1,9,2,2,2,1,1e+05
"2045",1956,2,6,1,10,6,4,2,4,2e+05
"2046",1940,1,6,1,9,1,2,13,4,72000
"2047",1975,2,6,-9,7,21,NA,2,1,45000
"2048",1942,2,6,-8,8,21,NA,2,4,-8
"2049",1954,1,6,3,7,21,NA,2,4,74000
"2050",1955,1,6,-9,5,17,2,2,8,75000
"2051",1942,2,6,-8,8,17,2,13,4,-8
"2052",1962,2,6,1,5,21,NA,2,5,-9
"2053",1954,2,6,-9,7,16,1,9,3,-8
"2054",1994,2,6,3,7,6,2,2,12,54000
"2055",1955,2,6,-9,5,4,2,7,1,-8
"2056",1965,1,6,2,10,17,2,2,1,250000
"2057",2001,2,6,6,7,-8,2,2,2,-8
"2058",1982,2,6,5,9,21,NA,2,1,88000
"2059",1985,1,6,-8,10,-8,-8,2,1,-8
"2060",1945,1,6,2,10,14,1,2,4,1e+05
"2061",1963,1,6,1,4,6,1,2,1,2e+05
"2062",1972,1,6,2,9,21,NA,2,1,0
"2063",1960,1,6,-9,9,5,2,13,1,160000
"2064",1954,1,6,2,11,8,2,2,3,150000
"2065",1934,1,6,2,8,12,1,9,4,30000
"2066",1970,2,6,2,9,6,1,11,3,-8
"2067",1955,2,6,1,9,6,1,12,4,2e+05
"2068",1953,1,6,5,7,21,NA,2,4,22000
"2069",1935,1,6,2,10,21,NA,2,4,62000
"2070",1949,2,6,3,10,1,1,2,4,-8
"2071",1949,1,6,2,6,12,2,2,4,40000
"2072",1968,1,6,1,8,12,1,11,1,190000
"2073",1998,1,6,3,8,10,2,2,1,2e+05
"2074",1959,2,6,1,9,6,2,2,3,135000
"2075",1958,1,6,1,10,6,1,2,4,16000
"2076",1956,2,6,6,9,6,1,2,3,-9
"2077",1946,2,6,5,10,7,2,2,4,125000
"2078",1977,1,6,-9,9,4,1,2,1,150000
"2079",1932,2,6,1,5,12,2,2,4,30000
"2080",1979,2,6,2,10,-8,1,2,1,-8
"2081",1966,2,6,2,5,6,2,2,7,-9
"2082",1961,1,6,2,8,6,4,2,4,65000
"2083",1997,2,4,5,5,21,NA,2,6,-9
"2084",1965,1,2,NA,5,3,1,2,3,13000
"2085",1961,2,2,2,5,9,3,2,1,40000
"2086",1959,2,2,-9,11,21,NA,2,1,0
"2087",1960,1,2,-9,9,6,1,2,1,120000
"2088",1961,1,2,2,7,1,2,2,1,170000
"2089",1959,2,2,-9,5,12,2,2,8,20000
"2090",1959,2,2,5,10,6,4,2,4,190000
"2091",1975,2,2,-9,5,6,2,2,12,70000
"2092",1938,2,2,2,9,22,1,2,4,-8
"2093",1969,1,2,1,9,9,3,2,1,-8
"2094",1933,2,2,-8,5,7,1,2,4,-8
"2095",1959,1,2,-9,7,9,2,2,1,73000
"2096",1938,2,2,1,7,12,1,2,4,-8
"2097",1968,1,2,2,7,7,2,2,4,150000
"2098",1970,2,2,5,10,21,NA,2,9,150000
"2099",1977,2,2,-9,7,14,2,2,10,55000
"2100",1942,2,2,1,5,3,1,2,4,50000
"2101",1946,1,2,-9,10,21,NA,13,4,60000
"2102",1976,1,5,-8,7,6,3,2,1,-8
"2103",1963,1,5,2,6,-8,3,2,1,-8
"2104",1959,2,5,4,11,21,NA,5,1,52000
"2105",1957,1,5,2,9,21,NA,2,1,40000
"2106",1942,2,5,-9,10,6,2,2,4,-9
"2107",1966,1,5,4,10,6,3,2,1,1e+05
"2108",1982,2,5,3,9,21,NA,2,1,82000
"2109",1978,2,5,-9,9,6,4,2,1,-9
"2110",1968,1,5,-9,3,6,2,2,1,-8
"2111",1970,1,5,-9,7,6,2,2,1,55000
"2112",1965,1,5,2,7,6,2,2,1,1e+05
"2113",1946,2,5,9,9,21,NA,5,4,25000
"2114",1951,2,5,2,2,6,1,1,4,-9
"2115",1974,1,5,3,6,6,2,2,3,125000
