"","age","sex","education","has_religion","religion_importance","income_family","employment","born_canada","province","n"
"9833",73,"Male","High school","Yes","Somewhat important","$25,000 to $49,999","unemployement","born outside canada","Ontario",1
"9834",73,"Male","High school","Yes","Somewhat important","$75,000 to $99,999","unemployement","born in Canada","British Columbia",1
"9835",73,"Male","High school","Yes","Very important","$125,000 and more","unemployement","born in Canada","British Columbia",1
"9836",73,"Male","High school","Yes","Very important","$125,000 and more","unemployement","born in Canada","Ontario",1
"9837",73,"Male","High school","Yes","Very important","$50,000 to $74,999","employement","born in Canada","Ontario",1
"9838",73,"Male","High school","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","British Columbia",1
"9839",73,"Male","High school","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Nova Scotia",2
"9840",73,"Male","High school","Yes","Very important","$75,000 to $99,999","employement","born in Canada","Ontario",1
"9841",73,"Male","High school","Yes","Very important","$75,000 to $99,999","unemployement","born in Canada","Manitoba",1
"9842",73,"Male","Less than high school","No","Very important","$25,000 to $49,999","unemployement","born outside canada","British Columbia",1
"9843",73,"Male","Less than high school","Yes","Not important at all","$25,000 to $49,999","employement","born in Canada","Quebec",1
"9844",73,"Male","Less than high school","Yes","Not important at all","$25,000 to $49,999","unemployement","born in Canada","Quebec",1
"9845",73,"Male","Less than high school","Yes","Not important at all","$50,000 to $74,999","unemployement","born in Canada","Saskatchewan",1
"9846",73,"Male","Less than high school","Yes","Not important at all","$75,000 to $99,999","employement","born in Canada","Ontario",1
"9847",73,"Male","Less than high school","Yes","Not very important","$25,000 to $49,999","unemployement","born in Canada","Nova Scotia",1
"9848",73,"Male","Less than high school","Yes","Not very important","$25,000 to $49,999","unemployement","born in Canada","Ontario",1
"9849",73,"Male","Less than high school","Yes","Not very important","$50,000 to $74,999","unemployement","born in Canada","Quebec",1
"9850",73,"Male","Less than high school","Yes","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","Alberta",1
"9851",73,"Male","Less than high school","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","Nova Scotia",1
"9852",73,"Male","Less than high school","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","Quebec",2
"9853",73,"Male","Less than high school","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","New Brunswick",1
"9854",73,"Male","Less than high school","Yes","Somewhat important","$75,000 to $99,999","unemployement","born in Canada","Manitoba",1
"9855",73,"Male","Less than high school","Yes","Somewhat important","$75,000 to $99,999","unemployement","born in Canada","Quebec",1
"9856",73,"Male","Less than high school","Yes","Somewhat important","Less than $25,000","employement","born in Canada","Saskatchewan",1
"9857",73,"Male","Less than high school","Yes","Very important","$100,000 to $ 124,999","unemployement","born in Canada","Alberta",1
"9858",73,"Male","Less than high school","Yes","Very important","$100,000 to $ 124,999","unemployement","born in Canada","Manitoba",1
"9859",73,"Male","Less than high school","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","Alberta",1
"9860",73,"Male","Less than high school","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","Saskatchewan",1
"9861",73,"Male","Less than high school","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Prince Edward Island",1
"9862",73,"Male","Less than high school","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Saskatchewan",1
"9863",73,"Male","Less than high school","Yes","Very important","$50,000 to $74,999","unemployement","born outside canada","Saskatchewan",1
"9864",73,"Male","Trade diploma","No","Not important at all","$25,000 to $49,999","unemployement","born in Canada","Ontario",1
"9865",73,"Male","Trade diploma","No","Somewhat important","$75,000 to $99,999","unemployement","born in Canada","New Brunswick",1
"9866",73,"Male","Trade diploma","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Manitoba",1
"9867",73,"Male","Trade diploma","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","New Brunswick",1
"9868",73,"Male","Trade diploma","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","New Brunswick",1
"9869",73,"Male","Trade diploma","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","Nova Scotia",1
"9870",73,"Male","Trade diploma","Yes","Very important","$25,000 to $49,999","unemployement","born outside canada","Ontario",1
"9871",73,"Male","Trade diploma","Yes","Very important","$75,000 to $99,999","unemployement","born in Canada","New Brunswick",1
"9872",73,"Male","University","Yes","Not important at all","$125,000 and more","unemployement","born in Canada","Ontario",1
"9873",74,"Female","Above bachelor","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","Ontario",1
"9874",74,"Female","Bachelor degree","No","Not important at all","$100,000 to $ 124,999","unemployement","born outside canada","Quebec",1
"9875",74,"Female","Bachelor degree","No","Not very important","$125,000 and more","unemployement","born in Canada","Ontario",1
"9876",74,"Female","Bachelor degree","Yes","Not important at all","$50,000 to $74,999","unemployement","born outside canada","Ontario",1
"9877",74,"Female","Bachelor degree","Yes","Not very important","$100,000 to $ 124,999","unemployement","born in Canada","Quebec",1
"9878",74,"Female","Bachelor degree","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Quebec",1
"9879",74,"Female","Bachelor degree","Yes","Very important","$100,000 to $ 124,999","unemployement","born in Canada","New Brunswick",1
"9880",74,"Female","Bachelor degree","Yes","Very important","$125,000 and more","unemployement","born in Canada","Ontario",1
"9881",74,"Female","Bachelor degree","Yes","Very important","$75,000 to $99,999","unemployement","born in Canada","British Columbia",1
"9882",74,"Female","Bachelor degree","Yes","Very important","$75,000 to $99,999","unemployement","born in Canada","Ontario",1
"9883",74,"Female","College","No","Very important","$25,000 to $49,999","unemployement","born outside canada","British Columbia",1
"9884",74,"Female","College","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","Prince Edward Island",1
"9885",74,"Female","College","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Ontario",1
"9886",74,"Female","College","Yes","Somewhat important","$50,000 to $74,999","unemployement","born outside canada","British Columbia",1
"9887",74,"Female","College","Yes","Somewhat important","$50,000 to $74,999","unemployement","born outside canada","Ontario",1
"9888",74,"Female","College","Yes","Somewhat important","$75,000 to $99,999","unemployement","born in Canada","Ontario",1
"9889",74,"Female","College","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","Prince Edward Island",1
"9890",74,"Female","College","Yes","Very important","$100,000 to $ 124,999","unemployement","born in Canada","New Brunswick",1
"9891",74,"Female","College","Yes","Very important","$100,000 to $ 124,999","unemployement","born in Canada","Ontario",1
"9892",74,"Female","College","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","Alberta",1
"9893",74,"Female","College","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","Nova Scotia",1
"9894",74,"Female","College","Yes","Very important","$25,000 to $49,999","unemployement","born outside canada","Alberta",1
"9895",74,"Female","College","Yes","Very important","$25,000 to $49,999","unemployement","born outside canada","Saskatchewan",1
"9896",74,"Female","College","Yes","Very important","$50,000 to $74,999","employement","born in Canada","Saskatchewan",1
"9897",74,"Female","College","Yes","Very important","$50,000 to $74,999","unemployement","born outside canada","Ontario",1
"9898",74,"Female","College","Yes","Very important","$75,000 to $99,999","employement","born in Canada","British Columbia",1
"9899",74,"Female","College","Yes","Very important","$75,000 to $99,999","employement","born in Canada","Ontario",1
"9900",74,"Female","College","Yes","Very important","$75,000 to $99,999","unemployement","born in Canada","Ontario",2
"9901",74,"Female","High school","No","Not very important","$50,000 to $74,999","unemployement","born outside canada","Quebec",1
"9902",74,"Female","High school","Yes","Not very important","$50,000 to $74,999","unemployement","born in Canada","Quebec",1
"9903",74,"Female","High school","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","British Columbia",1
"9904",74,"Female","High school","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Quebec",1
"9905",74,"Female","High school","Yes","Very important","$125,000 and more","unemployement","born in Canada","Prince Edward Island",1
"9906",74,"Female","High school","Yes","Very important","$125,000 and more","unemployement","born outside canada","Ontario",1
"9907",74,"Female","High school","Yes","Very important","$25,000 to $49,999","employement","born outside canada","Ontario",1
"9908",74,"Female","High school","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","New Brunswick",1
"9909",74,"Female","High school","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","Ontario",1
"9910",74,"Female","High school","Yes","Very important","$25,000 to $49,999","unemployement","born outside canada","Ontario",2
"9911",74,"Female","High school","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","British Columbia",1
"9912",74,"Female","High school","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Ontario",1
"9913",74,"Female","High school","Yes","Very important","$75,000 to $99,999","unemployement","born outside canada","Ontario",1
"9914",74,"Female","Less than high school","Yes","Not important at all","$100,000 to $ 124,999","unemployement","born in Canada","Ontario",1
"9915",74,"Female","Less than high school","Yes","Not very important","$50,000 to $74,999","unemployement","born in Canada","Quebec",2
"9916",74,"Female","Less than high school","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","Quebec",1
"9917",74,"Female","Less than high school","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Quebec",1
"9918",74,"Female","Less than high school","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","Nova Scotia",1
"9919",74,"Female","Less than high school","Yes","Very important","$25,000 to $49,999","unemployement","born outside canada","Quebec",1
"9920",74,"Female","Less than high school","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Alberta",1
"9921",74,"Female","Less than high school","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","New Brunswick",1
"9922",74,"Female","Less than high school","Yes","Very important","Less than $25,000","unemployement","born in Canada","Prince Edward Island",1
"9923",74,"Female","Trade diploma","Yes","Not very important","$25,000 to $49,999","unemployement","born in Canada","Quebec",1
"9924",74,"Female","Trade diploma","Yes","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","Saskatchewan",1
"9925",74,"Female","Trade diploma","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","New Brunswick",1
"9926",74,"Female","University","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","Quebec",1
"9927",74,"Male","Above bachelor","No","Not very important","$125,000 and more","unemployement","born in Canada","Saskatchewan",1
"9928",74,"Male","Above bachelor","No","Somewhat important","$125,000 and more","unemployement","born outside canada","British Columbia",1
"9929",74,"Male","Above bachelor","No","Very important","$100,000 to $ 124,999","unemployement","born outside canada","Ontario",1
"9930",74,"Male","Above bachelor","Yes","Not very important","$50,000 to $74,999","employement","born outside canada","Alberta",1
"9931",74,"Male","Above bachelor","Yes","Somewhat important","$100,000 to $ 124,999","unemployement","born in Canada","Alberta",1
"9932",74,"Male","Above bachelor","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","British Columbia",1
"9933",74,"Male","Above bachelor","Yes","Very important","$75,000 to $99,999","unemployement","born in Canada","Quebec",1
"9934",74,"Male","Bachelor degree","No","Not important at all","$50,000 to $74,999","unemployement","born outside canada","British Columbia",1
"9935",74,"Male","Bachelor degree","Yes","Not important at all","$25,000 to $49,999","employement","born outside canada","Ontario",1
"9936",74,"Male","Bachelor degree","Yes","Not important at all","$75,000 to $99,999","unemployement","born in Canada","Ontario",1
"9937",74,"Male","Bachelor degree","Yes","Somewhat important","$100,000 to $ 124,999","unemployement","born in Canada","Manitoba",1
"9938",74,"Male","Bachelor degree","Yes","Somewhat important","$100,000 to $ 124,999","unemployement","born outside canada","New Brunswick",1
"9939",74,"Male","Bachelor degree","Yes","Somewhat important","$25,000 to $49,999","unemployement","born outside canada","Ontario",1
"9940",74,"Male","Bachelor degree","Yes","Somewhat important","$50,000 to $74,999","unemployement","born outside canada","Quebec",1
"9941",74,"Male","Bachelor degree","Yes","Very important","$125,000 and more","employement","born in Canada","Manitoba",1
"9942",74,"Male","Bachelor degree","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Nova Scotia",1
"9943",74,"Male","Bachelor degree","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Quebec",1
"9944",74,"Male","Bachelor degree","Yes","Very important","$75,000 to $99,999","unemployement","born in Canada","Ontario",1
"9945",74,"Male","Bachelor degree","Yes","Very important","$75,000 to $99,999","unemployement","born in Canada","Quebec",1
"9946",74,"Male","Bachelor degree","Yes","Very important","$75,000 to $99,999","unemployement","born outside canada","Ontario",1
"9947",74,"Male","College","Yes","Somewhat important","$100,000 to $ 124,999","unemployement","born in Canada","Quebec",1
"9948",74,"Male","High school","Yes","Not important at all","$25,000 to $49,999","unemployement","born outside canada","British Columbia",1
"9949",74,"Male","High school","Yes","Not important at all","$50,000 to $74,999","unemployement","born in Canada","Saskatchewan",1
"9950",74,"Male","High school","Yes","Not important at all","$75,000 to $99,999","unemployement","born in Canada","British Columbia",1
"9951",74,"Male","High school","Yes","Not important at all","$75,000 to $99,999","unemployement","born in Canada","Saskatchewan",1
"9952",74,"Male","High school","Yes","Not very important","$100,000 to $ 124,999","unemployement","born in Canada","British Columbia",1
"9953",74,"Male","High school","Yes","Somewhat important","$100,000 to $ 124,999","unemployement","born in Canada","British Columbia",1
"9954",74,"Male","High school","Yes","Somewhat important","$100,000 to $ 124,999","unemployement","born in Canada","Ontario",1
"9955",74,"Male","High school","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","New Brunswick",1
"9956",74,"Male","High school","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","Manitoba",1
"9957",74,"Male","High school","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","Quebec",1
"9958",74,"Male","High school","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Nova Scotia",1
"9959",74,"Male","High school","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Ontario",1
"9960",74,"Male","High school","Yes","Somewhat important","$75,000 to $99,999","unemployement","born in Canada","British Columbia",1
"9961",74,"Male","High school","Yes","Somewhat important","$75,000 to $99,999","unemployement","born in Canada","Ontario",2
"9962",74,"Male","High school","Yes","Somewhat important","$75,000 to $99,999","unemployement","born in Canada","Quebec",2
"9963",74,"Male","High school","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","Ontario",1
"9964",74,"Male","High school","Yes","Very important","$25,000 to $49,999","employement","born in Canada","Nova Scotia",1
"9965",74,"Male","High school","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Nova Scotia",1
"9966",74,"Male","High school","Yes","Very important","Less than $25,000","unemployement","born in Canada","New Brunswick",1
"9967",74,"Male","Less than high school","No","Not very important","$50,000 to $74,999","employement","born in Canada","British Columbia",1
"9968",74,"Male","Less than high school","Yes","Not important at all","$25,000 to $49,999","unemployement","born in Canada","Quebec",2
"9969",74,"Male","Less than high school","Yes","Not important at all","$50,000 to $74,999","unemployement","born in Canada","Quebec",1
"9970",74,"Male","Less than high school","Yes","Not important at all","Less than $25,000","unemployement","born in Canada","Quebec",1
"9971",74,"Male","Less than high school","Yes","Not very important","$25,000 to $49,999","unemployement","born in Canada","Quebec",1
"9972",74,"Male","Less than high school","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","Ontario",1
"9973",74,"Male","Less than high school","Yes","Somewhat important","$25,000 to $49,999","employement","born in Canada","Ontario",1
"9974",74,"Male","Less than high school","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","British Columbia",1
"9975",74,"Male","Less than high school","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","Quebec",3
"9976",74,"Male","Less than high school","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Ontario",1
"9977",74,"Male","Less than high school","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Quebec",1
"9978",74,"Male","Less than high school","Yes","Very important","$125,000 and more","unemployement","born in Canada","Manitoba",1
"9979",74,"Male","Less than high school","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","Alberta",1
"9980",74,"Male","Less than high school","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","Prince Edward Island",1
"9981",74,"Male","Less than high school","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Ontario",1
"9982",74,"Male","Less than high school","Yes","Very important","$50,000 to $74,999","unemployement","born outside canada","Alberta",1
"9983",74,"Male","Less than high school","Yes","Very important","$75,000 to $99,999","employement","born in Canada","Nova Scotia",1
"9984",74,"Male","Less than high school","Yes","Very important","$75,000 to $99,999","unemployement","born in Canada","Quebec",1
"9985",74,"Male","Trade diploma","Yes","Not important at all","$50,000 to $74,999","unemployement","born outside canada","New Brunswick",1
"9986",74,"Male","Trade diploma","Yes","Not very important","$50,000 to $74,999","unemployement","born in Canada","Alberta",1
"9987",74,"Male","Trade diploma","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Alberta",2
"9988",74,"Male","University","No","Not important at all","$75,000 to $99,999","unemployement","born in Canada","British Columbia",1
"9989",74,"Male","University","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","Quebec",1
"9990",74,"Male","University","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Prince Edward Island",1
"9991",74,"Male","University","Yes","Somewhat important","$75,000 to $99,999","unemployement","born in Canada","Quebec",1
"9992",74,"Male","University","Yes","Very important","$125,000 and more","employement","born in Canada","Manitoba",1
"9993",74,"Male","University","Yes","Very important","$125,000 and more","unemployement","born in Canada","British Columbia",1
"9994",74,"Male","University","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","New Brunswick",1
"9995",75,"Female","Above bachelor","Yes","Very important","$50,000 to $74,999","unemployement","born outside canada","British Columbia",1
"9996",75,"Female","Above bachelor","Yes","Very important","$75,000 to $99,999","unemployement","born in Canada","Nova Scotia",1
"9997",75,"Female","Above bachelor","Yes","Very important","$75,000 to $99,999","unemployement","born outside canada","Ontario",1
"9998",75,"Female","Bachelor degree","No","Not important at all","$50,000 to $74,999","employement","born in Canada","Ontario",1
"9999",75,"Female","Bachelor degree","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","Alberta",1
"10000",75,"Female","Bachelor degree","Yes","Somewhat important","$25,000 to $49,999","unemployement","born outside canada","Alberta",1
"10001",75,"Female","Bachelor degree","Yes","Somewhat important","$75,000 to $99,999","unemployement","born outside canada","Prince Edward Island",1
"10002",75,"Female","Bachelor degree","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Quebec",1
"10003",75,"Female","Bachelor degree","Yes","Very important","$75,000 to $99,999","unemployement","born in Canada","Ontario",1
"10004",75,"Female","College","Yes","Not important at all","$75,000 to $99,999","unemployement","born in Canada","Quebec",1
"10005",75,"Female","College","Yes","Somewhat important","$25,000 to $49,999","employement","born in Canada","Saskatchewan",1
"10006",75,"Female","College","Yes","Very important","$100,000 to $ 124,999","unemployement","born in Canada","Nova Scotia",1
"10007",75,"Female","College","Yes","Very important","$100,000 to $ 124,999","unemployement","born in Canada","Ontario",1
"10008",75,"Female","College","Yes","Very important","$100,000 to $ 124,999","unemployement","born outside canada","Quebec",1
"10009",75,"Female","College","Yes","Very important","$125,000 and more","unemployement","born outside canada","Ontario",1
"10010",75,"Female","College","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","Nova Scotia",1
"10011",75,"Female","College","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","Ontario",1
"10012",75,"Female","College","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Manitoba",1
"10013",75,"Female","College","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Nova Scotia",1
"10014",75,"Female","College","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Ontario",1
"10015",75,"Female","High school","Yes","Not important at all","Less than $25,000","unemployement","born in Canada","Quebec",1
"10016",75,"Female","High school","Yes","Not very important","Less than $25,000","unemployement","born in Canada","Quebec",1
"10017",75,"Female","High school","Yes","Somewhat important","$125,000 and more","employement","born in Canada","British Columbia",1
"10018",75,"Female","High school","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","Quebec",1
"10019",75,"Female","High school","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","Saskatchewan",1
"10020",75,"Female","High school","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Quebec",1
"10021",75,"Female","High school","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Saskatchewan",1
"10022",75,"Female","High school","Yes","Somewhat important","$50,000 to $74,999","unemployement","born outside canada","Alberta",1
"10023",75,"Female","High school","Yes","Somewhat important","$50,000 to $74,999","unemployement","born outside canada","Ontario",2
"10024",75,"Female","High school","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","British Columbia",1
"10025",75,"Female","High school","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Manitoba",1
"10026",75,"Female","Less than high school","Yes","Not important at all","$25,000 to $49,999","unemployement","born in Canada","British Columbia",1
"10027",75,"Female","Less than high school","Yes","Not very important","$125,000 and more","employement","born in Canada","British Columbia",1
"10028",75,"Female","Less than high school","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","Nova Scotia",1
"10029",75,"Female","Less than high school","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Ontario",1
"10030",75,"Female","Less than high school","Yes","Somewhat important","$75,000 to $99,999","unemployement","born in Canada","Ontario",1
"10031",75,"Female","Less than high school","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","Nova Scotia",2
"10032",75,"Female","Less than high school","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","Ontario",1
"10033",75,"Female","Less than high school","Yes","Very important","Less than $25,000","unemployement","born in Canada","Prince Edward Island",1
"10034",75,"Female","Trade diploma","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","New Brunswick",1
"10035",75,"Female","Trade diploma","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","Quebec",1
"10036",75,"Female","Trade diploma","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","British Columbia",1
"10037",75,"Female","University","Yes","Somewhat important","$100,000 to $ 124,999","unemployement","born in Canada","British Columbia",1
"10038",75,"Female","University","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Nova Scotia",1
"10039",75,"Female","University","Yes","Very important","Less than $25,000","unemployement","born in Canada","Quebec",1
"10040",75,"Male","Above bachelor","No","Not important at all","$100,000 to $ 124,999","unemployement","born outside canada","Alberta",1
"10041",75,"Male","Above bachelor","No","Not important at all","$125,000 and more","unemployement","born outside canada","Alberta",1
"10042",75,"Male","Above bachelor","No","Not important at all","$25,000 to $49,999","unemployement","born in Canada","Alberta",1
"10043",75,"Male","Above bachelor","No","Not important at all","$75,000 to $99,999","unemployement","born outside canada","Nova Scotia",1
"10044",75,"Male","Above bachelor","Yes","Not important at all","$100,000 to $ 124,999","unemployement","born in Canada","British Columbia",1
"10045",75,"Male","Above bachelor","Yes","Not important at all","$100,000 to $ 124,999","unemployement","born in Canada","Quebec",1
"10046",75,"Male","Above bachelor","Yes","Very important","$100,000 to $ 124,999","unemployement","born in Canada","Nova Scotia",1
"10047",75,"Male","Above bachelor","Yes","Very important","$125,000 and more","employement","born outside canada","Nova Scotia",1
"10048",75,"Male","Above bachelor","Yes","Very important","$125,000 and more","employement","born outside canada","Ontario",2
"10049",75,"Male","Above bachelor","Yes","Very important","$125,000 and more","unemployement","born in Canada","Ontario",1
"10050",75,"Male","Above bachelor","Yes","Very important","$125,000 and more","unemployement","born outside canada","Manitoba",1
"10051",75,"Male","Above bachelor","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Nova Scotia",1
"10052",75,"Male","Above bachelor","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Quebec",1
"10053",75,"Male","Above bachelor","Yes","Very important","$75,000 to $99,999","unemployement","born in Canada","Alberta",1
"10054",75,"Male","Above bachelor","Yes","Very important","$75,000 to $99,999","unemployement","born in Canada","Nova Scotia",1
"10055",75,"Male","Bachelor degree","No","Not important at all","$100,000 to $ 124,999","unemployement","born in Canada","Prince Edward Island",1
"10056",75,"Male","Bachelor degree","No","Not important at all","$50,000 to $74,999","unemployement","born in Canada","Ontario",1
"10057",75,"Male","Bachelor degree","No","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","British Columbia",1
"10058",75,"Male","Bachelor degree","Yes","Not very important","$125,000 and more","employement","born outside canada","Alberta",1
"10059",75,"Male","Bachelor degree","Yes","Not very important","$125,000 and more","unemployement","born in Canada","Quebec",1
"10060",75,"Male","Bachelor degree","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","Manitoba",1
"10061",75,"Male","Bachelor degree","Yes","Somewhat important","$125,000 and more","unemployement","born outside canada","British Columbia",1
"10062",75,"Male","Bachelor degree","Yes","Somewhat important","$75,000 to $99,999","unemployement","born in Canada","Quebec",1
"10063",75,"Male","Bachelor degree","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","Manitoba",1
"10064",75,"Male","Bachelor degree","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Saskatchewan",1
"10065",75,"Male","College","No","Not important at all","$50,000 to $74,999","unemployement","born in Canada","British Columbia",1
"10066",75,"Male","College","Yes","Not important at all","$50,000 to $74,999","unemployement","born in Canada","British Columbia",1
"10067",75,"Male","College","Yes","Not very important","$125,000 and more","unemployement","born outside canada","Ontario",1
"10068",75,"Male","College","Yes","Somewhat important","$125,000 and more","unemployement","born outside canada","Quebec",1
"10069",75,"Male","College","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","New Brunswick",1
"10070",75,"Male","College","Yes","Very important","$75,000 to $99,999","unemployement","born outside canada","Ontario",2
"10071",75,"Male","High school","No","Not very important","$75,000 to $99,999","unemployement","born outside canada","Alberta",1
"10072",75,"Male","High school","Yes","Not important at all","$50,000 to $74,999","unemployement","born in Canada","British Columbia",1
"10073",75,"Male","High school","Yes","Not important at all","$50,000 to $74,999","unemployement","born in Canada","Quebec",1
"10074",75,"Male","High school","Yes","Not very important","$50,000 to $74,999","unemployement","born outside canada","Ontario",2
"10075",75,"Male","High school","Yes","Somewhat important","$100,000 to $ 124,999","unemployement","born in Canada","Prince Edward Island",1
"10076",75,"Male","High school","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","British Columbia",2
"10077",75,"Male","High school","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","New Brunswick",1
"10078",75,"Male","High school","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Ontario",1
"10079",75,"Male","High school","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Quebec",1
"10080",75,"Male","High school","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","Ontario",1
"10081",75,"Male","High school","Yes","Very important","$125,000 and more","employement","born in Canada","Ontario",1
"10082",75,"Male","High school","Yes","Very important","$25,000 to $49,999","unemployement","born outside canada","British Columbia",1
"10083",75,"Male","High school","Yes","Very important","$50,000 to $74,999","employement","born in Canada","British Columbia",1
"10084",75,"Male","High school","Yes","Very important","$75,000 to $99,999","employement","born outside canada","Ontario",1
"10085",75,"Male","Less than high school","No","Not important at all","$125,000 and more","employement","born in Canada","Saskatchewan",1
"10086",75,"Male","Less than high school","No","Not important at all","$25,000 to $49,999","unemployement","born in Canada","Saskatchewan",1
"10087",75,"Male","Less than high school","No","Somewhat important","$125,000 and more","employement","born in Canada","Manitoba",1
"10088",75,"Male","Less than high school","Yes","Not important at all","$25,000 to $49,999","unemployement","born in Canada","Ontario",1
"10089",75,"Male","Less than high school","Yes","Not important at all","Less than $25,000","unemployement","born in Canada","British Columbia",1
"10090",75,"Male","Less than high school","Yes","Not very important","$25,000 to $49,999","unemployement","born in Canada","British Columbia",1
"10091",75,"Male","Less than high school","Yes","Not very important","$50,000 to $74,999","unemployement","born in Canada","Quebec",1
"10092",75,"Male","Less than high school","Yes","Not very important","$75,000 to $99,999","unemployement","born in Canada","Nova Scotia",1
